100
14
Jan
bought,usable,demand,consume,shortage,waste,budget
0,0,0,0,0,0,0,188864,0,0,0,35504,0,0
25262243337.62,25262243337.62,25262243337.62,25262243337.62,24663692956.34,24309179063.42,24309179063.42,24016333531.22,24016333531.22,24016333531.22,24016333531.22,24016333531.22,23992322488.84,23992322488.84
134664,0,0,0,60784,36014,29406,0,0,0,0,0,0,0
134664,124248,111261,66528,126903,162788,126204,126204,126204,125918,65420,29406,0,0
10416,12987,44733,409,129,73,269,0,286,9173,1692,1966,10416,0
10416,12987,44733,409,129,73,269,0,286,9173,1692,1966,10416,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,65648,0,0,0,49633,34048,0
26001829013.28,26001829013.28,26001829013.28,26001829013.28,25403340023.84,25048084962.8,24757251977.24,24757251977.24,24757251977.24,24757251977.24,24757251977.24,24757251977.24,24757251977.24,24757251977.24
175337,0,0,0,60784,0,65420,0,0,0,0,0,0,0
175337,172201,120653,110013,166149,161036,126204,126204,126204,121197,65420,65420,0,0
3136,51548,10640,4648,5113,2319,0,0,5007,1216,2095,2834,3136,0
3136,51548,10640,4648,5113,2319,0,0,5007,1216,2095,2834,3136,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,97933,0,0,0,52466,0,0
25604441424.64,25604441424.64,25604441424.64,25604441424.64,25009993355.52,25009993355.52,24365417291.72,24365417291.72,24365417291.72,24365417291.72,24365417291.72,24365417291.72,24365417291.72,24365417291.72
29406,76911,0,0,0,0,125375,0,0,0,0,0,0,0
29406,105258,98991,96683,94734,72955,198257,125375,125375,125139,125122,78306,0,0
1059,6267,2308,1949,21779,73,1350,308,236,17,46816,5998,1059,0
1059,6267,2308,1949,21779,73,1350,308,236,17,46816,5998,1059,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,71224,0,0,0,0,0
27089219207.04,26267041386.15,26267041386.15,26267041386.15,26267041386.15,26267041386.15,25037644226.15,25037644226.15,25037644226.15,25037644226.15,25037644226.15,25037644226.15,25037644226.15,25037644226.15
175337,0,0,0,60784,0,0,65420,0,0,0,0,0,0
175337,173393,160602,153686,207492,199142,60784,126204,126181,126085,65420,65420,62530,62530
1944,12791,6916,6978,8350,303,135,23,96,376,8384,2890,1944,0
1944,12791,6916,6978,8350,303,135,23,96,376,8384,2890,1944,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,137920,0,0,0,51905,0,0
25639221271.96,25639221271.96,25639221271.96,25639221271.96,25056978630.04,25056978630.04,25056978630.04,24414269653.04,24414269653.04,24414269653.04,24414269653.04,24414269653.04,24414269653.04,24414269653.04
134664,0,0,0,0,96798,29406,0,0,0,0,0,20602,0
134664,109335,92350,83989,83244,174733,126204,126204,126114,126002,70853,29406,20602,20602
25329,16985,8361,745,5309,303,1322,90,112,55149,4783,57266,25329,0
25329,16985,8361,745,5309,303,1322,90,112,55149,4783,57266,25329,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,76310,0,0,0,0,0,0
25985412125.04,25985412125.04,25985412125.04,25985412125.04,25985412125.04,25037170205.22,24746604814.26,24746604814.26,24746604814.26,24746604814.26,24746604814.26,24746604814.26,24525557921.48,24525557921.48
29406,76816,0,34010,0,0,91365,0,0,0,0,65420,0,0
29406,105258,101461,120267,117567,117119,202191,125375,125375,91365,91365,65420,63196,63196
964,3797,15204,2700,448,538,79,2336,17,10764,117057,2224,964,0
964,3797,15204,2700,448,538,79,2336,17,10764,91365,2224,964,0
0,0,0,0,0,0,0,0,0,0,25692,0,0,0
0,0,0,0,0,0,0,5676,74480,0,23229,0,0,0
